Year,statePrisons,federalPrisons,localJails
1925,85239,6430,
1926,91188,6803,
1927,101624,7722,
1928,108157,8233,
1929,107532,12964,
1930,117268,12185,
1931,124118,12964,
1932,125721,12276,
1933,125962,10848,
1934,126258,12058,
1935,129418,14762,
1936,129664,15374,
1937,137432,15309,
1938,143152,17133,
1939,160088,19730,
1940,154446,19260,99249.0
1941,146974,18465,
1942,133761,16623,
1943,121107,16113,
1944,114317,18139,
1945,115011,18638,
1946,122457,17622,
1947,134158,17146,
1948,139649,16328,
1949,146881,16868,
1950,149031,17134,86492.0
1951,148285,17395,
1952,150219,18014,
1953,154216,19363,
1954,162898,20003,
1955,165692,20088,
1956,169431,20134,
1957,174836,20420,
1958,184094,21549,
1959,185613,22492,
1960,189735,23218,119671.0
1961,196453,23696,
1962,194886,23944,
1963,194155,23128,
1964,192627,21709,
1965,189855,21040,
1966,180409,19245,
1967,175317,19579,
1968,167571,19703,
1969,177513,19623,
1970,176403,20038,129189.0
1971,177113,20948,
1972,174379,21713,
1973,181396,22815,
1974,196105,22361,
1975,216462,24131,
1976,235853,26980,
1977,247507,28650,
1978,268005,26391,158394.0
1979,278882,22588,
1980,295353,20611,163994.0
1981,331504,22169,
1982,371864,23652,
1983,393015,26331,223551.0
1984,415796,27602,234500.0
1985,447873,32695,256615.0
1986,485553,36531,274444.0
1987,521289,39523,295873.0
1988,560994,42738,343569.0
1989,633739,47168,395553.0
1990,689577,50403,405320.0
1991,732916,56696,426479.0
1992,780571,65706,444584.0
1993,857675,74399,459804.0
1994,936896,79795,486474.0
1995,1001359,83663,507044.0
1996,1048907,88815,518492.0
1997,1099347,94987,567079.0
1998,1152792,103682,592462.0
1999,1189806,114275,605943.0
2000,1209130,125044,621149.0
2001,1208708,136509,631240.0
2002,1237476,143040,665475.0
2003,1256442,151919,691301.0
2004,1274591,159137,713990.0
2005,1296693,166173,747529.0
2006,1331065,173533,765819.0
2007,1353647,179204,780174.0
2008,1365409,182333,785533.0
2009,1365688,187886,767434.0
2010,1362028,190641,748728.0
2011,1341797,197050,735601.0
2012,1315856,196574,744524.0
2013,1325305,195098,731208.0
2014,1316407,191374,744592.0
2015,1298159,178688,727400.0
2016,1288466,171482,740700.0
2017,1273674,166203,745200.0
2018,1249717,163653,738400.0
2019,1221288,158498,734500.0
2020,1182166,142028,549100.0
